,latitude,longitude
0,38.95170529999999,-92.33407240000001
1,38.57670170000001,-92.17351640000001
2,38.9430044,-92.3616203
3,38.496657299999995,-92.34372619999999
4,38.1991971,-92.83352370000001
5,40.271482,22.508662
6,41.394816999999996,-73.45401109999997
7,45.220672799999996,-123.07621340000001
8,45.5198364,-123.11066310000001
9,45.2101162,-123.1987163
10,45.0787251,-123.48594170000001
11,45.9931636,-123.9226385
12,45.20320170000001,-123.8873848
13,45.6187245,-123.11427579999999
14,45.616052,9.590287199999999
15,-3.365789,36.67445
16,45.5011454,9.2916939
17,-17.38414,-66.166702
18,46.4143194,-84.2913075
19,43.9145244,-69.9653278
20,43.9275797,-69.9758839
21,43.8045275,-69.7467118
22,43.8006354,-70.1867161
23,40.812389,-76.901756
24,40.0792766,-75.3015714
25,40.2109404,-75.2782317
26,40.6259316,-75.3704579
27,40.6084305,-75.4901833
28,40.1023325,-75.1521195
29,40.24537410000001,-75.6496302
30,40.310106299999994,-75.1298939
31,40.65398920000001,-75.0865619
32,40.32204820000001,-75.32795379999997
33,40.740930799999994,-75.2571225
34,43.769163,-79.182803
35,34.2257255,-77.9447102
36,34.0351726,-77.8935966
37,34.7540524,-77.43024140000001
38,34.43516760000001,-77.88776379999999
39,34.625054399999996,-77.40134029999999
40,42.325578,-87.8411818
41,34.3651685,-77.63052929999998
42,34.495444799999994,-77.55496959999998
43,37.677476899999995,-113.06189309999999
44,44.2619309,-88.4153847
45,44.1858193,-88.462609
46,44.278043200000006,-88.2720503
47,44.7822064,-88.6089917
48,44.514987899999994,-88.33037979999996
49,32.792,-115.56305139999999
50,32.6789476,-115.4988834
51,7.764950999999999,-72.226061
52,51.5862949,5.0791272
53,32.6455704,-115.44534209999999
54,32.59062419999999,-115.4769696
55,38.960783,-77.085464
56,38.3240166,-77.4683177
57,39.904214,116.40741299999999
58,41.7251751,1.8233526999999998
59,39.769721999999994,-74.887778
60,20.8487516,-156.3177008
61,40.50621500000001,-74.6201578
62,40.2222189,-74.71715479999997
63,43.135288,-87.9356423
64,43.16334260000001,-87.9645321
65,43.235883,-87.989257
66,43.237506700000004,-87.9787001
67,43.750828399999996,-87.71453000000002
68,43.113344399999995,-87.9000856
69,43.01251420000001,-87.97258609999999
70,43.1805645,-87.9006421
71,43.3197265,-87.9534226
72,-6.413989599999999,107.463131
73,-6.2770529999999995,107.01984099999999
74,-6.8047187000000005,107.58816200000001
75,-6.9672739,107.63076389999999
76,18.0955335,-67.90467029999999
77,18.79014,98.982235
78,18.888457100000004,98.8295785
79,43.313878,-89.5265093
80,55.10101700000001,14.708329
81,34.42332929999999,-118.4720281
82,42.123649900000004,-71.1786237
83,42.4259283,-71.3039469
84,42.543702,-71.6495134
85,37.4137536,-79.1422464
86,37.270970399999996,-79.9414266
87,37.3637534,-79.289749
88,37.7840208,-79.4428157
89,37.816239,-79.8244947
90,33.450637,-112.350999
91,37.8508421,-79.4820046
92,53.0950562,-2.4417675
93,37.418189700000006,-79.87476269999998
94,37.879166999999995,-79.289722
95,55.8833333,-3.1166667
96,-7.8753849,110.4262088
97,-7.8352553,110.36563740000001
98,-0.881142,131.249603
99,18.0089836,-76.782702
100,39.695262899999996,3.0175712000000003
101,32.250397899999996,-101.4787355
102,28.967194,-98.47862690000001
103,-33.4577558,-70.65736940000002
104,-21.211544500000002,-50.4261364
105,-29.368792,-50.8786439
106,-33.9725887,-53.548784899999994
107,43.5249088,5.4541444000000014
