latitude, longitude
-33.872696, 151.2075806
1.3045137, 103.7741089
14.0406729, 100.6155396
51.5189981, -0.1345825
52.3873348, 9.7476196
59.3331894, 18.0560303
56.1516693, 10.2062988
47.0663803, 15.4412842
46.5154057, 6.6288757
40.7306085, -73.9929199
32.7734194, -117.0703125
-33.9251297, 18.4240723
